Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,8475.000000,8500.000000,8350.000000,8450.000000,8274.592773,23915300
2019-02-04,8450.000000,8475.000000,8175.000000,8200.000000,8029.782227,27634200
2019-02-05,8200.000000,8200.000000,8200.000000,8200.000000,8029.782227,0
2019-02-06,8275.000000,8350.000000,8225.000000,8225.000000,8054.263184,28617900
2019-02-07,8225.000000,8275.000000,8150.000000,8200.000000,8029.782227,27500100
2019-02-08,8150.000000,8225.000000,8100.000000,8150.000000,7980.820313,36834100
2019-02-11,8125.000000,8150.000000,8000.000000,8000.000000,7833.933594,34439900
2019-02-12,8000.000000,8000.000000,7650.000000,7650.000000,7491.199219,84655500
2019-02-13,7700.000000,7775.000000,7550.000000,7675.000000,7515.680176,60065900
2019-02-14,7775.000000,7775.000000,7550.000000,7600.000000,7442.237305,37462300
2019-02-15,7650.000000,7650.000000,7525.000000,7600.000000,7442.237305,51353000
2019-02-18,7725.000000,7925.000000,7700.000000,7875.000000,7711.528809,39041200
2019-02-19,7800.000000,7875.000000,7725.000000,7775.000000,7613.604492,24292900
2019-02-20,7850.000000,7875.000000,7625.000000,7775.000000,7613.604492,46538800
2019-02-21,7700.000000,7725.000000,7650.000000,7700.000000,7540.161133,41248700
2019-02-22,7650.000000,7700.000000,7575.000000,7625.000000,7466.718262,32076500
2019-02-25,7625.000000,7800.000000,7575.000000,7650.000000,7491.199219,34983600
2019-02-26,7625.000000,7675.000000,7600.000000,7600.000000,7442.237305,29923400
2019-02-27,7650.000000,7650.000000,7525.000000,7600.000000,7442.237305,38903200
2019-02-28,7550.000000,7550.000000,7150.000000,7150.000000,7001.578125,119005400
2019-03-01,7250.000000,7400.000000,7225.000000,7225.000000,7075.021484,56265500
2019-03-04,7200.000000,7275.000000,7150.000000,7150.000000,7001.578125,31484700
2019-03-05,7125.000000,7375.000000,7025.000000,7300.000000,7148.464844,60708500
2019-03-06,7400.000000,7400.000000,7275.000000,7325.000000,7172.945801,35643300
2019-03-07,7325.000000,7325.000000,7325.000000,7325.000000,7172.945801,0
2019-03-08,7200.000000,7225.000000,7150.000000,7150.000000,7001.578125,86989800
2019-03-11,7300.000000,7300.000000,7175.000000,7225.000000,7075.021484,33829300
2019-03-12,7250.000000,7350.000000,7175.000000,7175.000000,7026.059570,36724200
2019-03-13,7100.000000,7150.000000,7100.000000,7125.000000,6977.097168,35882400
2019-03-14,7125.000000,7250.000000,7125.000000,7200.000000,7050.540527,29057900
2019-03-15,7200.000000,7375.000000,7200.000000,7325.000000,7172.945801,39356200
2019-03-18,7300.000000,7375.000000,7275.000000,7325.000000,7172.945801,32558100
2019-03-19,7300.000000,7325.000000,7225.000000,7275.000000,7123.983398,40585700
2019-03-20,7300.000000,7350.000000,7225.000000,7275.000000,7123.983398,30377700
2019-03-21,7300.000000,7325.000000,7225.000000,7250.000000,7099.502441,31066900
2019-03-22,7275.000000,7300.000000,7225.000000,7225.000000,7075.021484,13387300
2019-03-25,7175.000000,7175.000000,7000.000000,7050.000000,6903.654297,51758500
2019-03-26,7100.000000,7175.000000,7075.000000,7100.000000,6952.616211,23711700
2019-03-27,7175.000000,7200.000000,7100.000000,7175.000000,7026.059570,12546100
2019-03-28,7150.000000,7150.000000,7050.000000,7100.000000,6952.616211,17584700
2019-03-29,7100.000000,7300.000000,7100.000000,7300.000000,7148.464844,30122900
2019-04-01,7375.000000,7400.000000,7275.000000,7350.000000,7197.426758,13152600
2019-04-02,7325.000000,7450.000000,7300.000000,7425.000000,7270.869629,28647700
2019-04-03,7425.000000,7425.000000,7425.000000,7425.000000,7270.869629,0
2019-04-04,7500.000000,7625.000000,7500.000000,7550.000000,7393.274902,38598100
2019-04-05,7575.000000,7650.000000,7500.000000,7650.000000,7491.199219,21303800
2019-04-08,7600.000000,7625.000000,7375.000000,7525.000000,7368.793945,23973800
2019-04-09,7475.000000,7700.000000,7475.000000,7675.000000,7515.680176,31230600
2019-04-10,7725.000000,7725.000000,7625.000000,7650.000000,7491.199219,18506200
2019-04-11,7675.000000,7675.000000,7475.000000,7525.000000,7368.793945,17082800
2019-04-12,7450.000000,7575.000000,7450.000000,7525.000000,7368.793945,12332300
2019-04-15,7575.000000,7625.000000,7475.000000,7600.000000,7442.237305,30002000
2019-04-16,7550.000000,7800.000000,7550.000000,7750.000000,7589.123535,37600500
2019-04-17,7750.000000,7750.000000,7750.000000,7750.000000,7589.123535,0
2019-04-18,7925.000000,8025.000000,7775.000000,7850.000000,7687.047363,88459900
2019-04-19,7850.000000,7850.000000,7850.000000,7850.000000,7687.047363,0
2019-04-22,7850.000000,7850.000000,7500.000000,7525.000000,7368.793945,33999600
2019-04-23,7625.000000,7675.000000,7550.000000,7650.000000,7491.199219,30486900
2019-04-24,7625.000000,7675.000000,7600.000000,7650.000000,7491.199219,22044600
2019-04-25,7550.000000,7600.000000,7400.000000,7550.000000,7393.274902,34998300
2019-04-26,7475.000000,7650.000000,7475.000000,7650.000000,7491.199219,31531100
2019-04-29,7525.000000,7700.000000,7500.000000,7600.000000,7442.237305,33169300
2019-04-30,7650.000000,7675.000000,7575.000000,7625.000000,7466.718262,29569700
2019-05-01,7625.000000,7625.000000,7625.000000,7625.000000,7466.718262,0
2019-05-02,7600.000000,7675.000000,7450.000000,7475.000000,7319.832031,37010600
2019-05-03,7475.000000,7500.000000,7400.000000,7425.000000,7270.869629,30801100
2019-05-06,7350.000000,7450.000000,7300.000000,7425.000000,7270.869629,22291100
2019-05-07,7400.000000,7550.000000,7375.000000,7525.000000,7525.000000,22700800
2019-05-08,7450.000000,7475.000000,7375.000000,7400.000000,7400.000000,22454500
